Hour ending,Hour_UTC,R1_NW_year16,R2_CA_year16,R3_MN_year16,R4_SW_year16,R5_CE_year16,R6_TX_year16,R7_MW_year16,R8_AL_year16,R9_MA_year16,R10_SE_year16,R11_FL_year16,R12_NY_year16,R13_NE_year16
1,1/1/2016 0:00,19867,29235,27009.84,8672.36,20247.52,45772.3,57668.54008,17624.96,98412.77992,67096.96,35118.14,19726,16063
2,1/1/2016 1:00,21297,29983,29230.54,9595.55,20649.70001,46871.5,57995.01562,18174.21,95631.18438,66585.8,33226.1,19008,15273
3,1/1/2016 2:00,22683,31631,30115.1,10066.79,20323.28,45731.62,57296.22423,18217.73,92610.65577,64713.06,24424.34,18340,14568
4,1/1/2016 3:00,22472,34948,29420.12,9935.04,19974.07999,44410.36,56387.77745,18087.62,89576.50256,62561.54,28348.36,17557,13850
5,1/1/2016 4:00,21791,35138,29118.96,9764.24,19591.18,43131.47,55066.04132,17837.37,86374.03868,60218.04,26367.16,16772,13108
6,1/1/2016 5:00,21077,34156,28287.02,9574.71,19096.51999,41704.14,53144.51035,17359.89,83556.90967,57645.16,24446.04,16055,12737
7,1/1/2016 6:00,20335,32957,27442.18,9306.47,18627.83999,40565.25,52319.33517,15652.02,81613.90484,55757.9,23306.3,15250,12503
8,1/1/2016 7:00,19460,31599,26589.3,9096.21,18276.72,39604.02,51014.97725,15337.73,80694.24275,54620.24,22099.26,14583,12241
9,1/1/2016 8:00,18972,30241,26283.2,8943.56,18070.21999,39096.5,50002.56233,15227.8,79097.35768,53303.66,20758.94,14013,11824
10,1/1/2016 9:00,18459,29187,25307.06,8883.63,17893.76001,38700.43,49185.88194,15117.86,78363.67805,52527.48,19844.12,13632,11616
11,1/1/2016 10:00,18203,28364,25067.38,8827.01,17899.92001,38659.61,49046.56735,15094.66,78706.85265,52602.36,19353.84,13500,11626
12,1/1/2016 11:00,18144,27465,25026.48,8864.9,18026.00001,39087.4,49496.88021,15225.02,80003.01977,54114.12,19397.78,13671,11902
13,1/1/2016 12:00,18258,26813,25007.98,9005.17,18310.54001,40134.49,50505.13595,15544.08,80982.50404,55216.22,19815.78,14093,12104
14,1/1/2016 13:00,18664,26509,25569.8,9280.78,18770.35999,41256.52,51695.68521,16025.98,82381.3748,56601.14,20270.36,14398,12263
15,1/1/2016 14:00,19367,26608,26069.5,9601.45,19081.9,42060.63,52358.02622,16331.52,83283.47378,58085.94,22276.46,14791,12711
16,1/1/2016 15:00,20207,27155,26476.18,9733.33,19087.26001,42858.24,52665.65013,16705.83,85185.00986,60877.84,25576.86,15502,13135
17,1/1/2016 16:00,20855,27653,26822.28,9616.56,19071.02001,44085.74,53291.66176,17115.48,87085.35823,62831.26,28519.74,16144,13314
18,1/1/2016 17:00,21349,27815,26703.24,9291.04,18933.78,44770.05,53730.88388,17371.31,88146.09612,63818.84,30901.96,16548,13603
19,1/1/2016 18:00,21570,27942,26472.3,8958.09,18677.27999,44814.35,53650.28711,17322.4,88361.0929,63844.42,32526.98,16812,13810
20,1/1/2016 19:00,21399,28158,26287.3,8645.33,18267.66001,44436.24,53011.49673,17041.11,87773.96326,63303.92,33247.28,16915,13920
21,1/1/2016 20:00,20881,28219,25495.68,8361.54,17786.78,43796.56,52004.92419,16704.86,87268.65581,61875.76,33243.74,17069,13961
22,1/1/2016 21:00,20174,27750,25288.2,8099.66,17460.72001,43207.45,51525.65371,16423.35,87398.16629,61660.36,32803.94,17248,14180
23,1/1/2016 22:00,19588,27304,24711.36,7954.88,17326.66,43054.2,51513.70321,16370.14,89763.25679,62415.34,31968.36,17925,15128
24,1/1/2016 23:00,19214,26948,24608.44,8006.5,17637.89999,43623.53,53305.16886,16584.43,96291.83114,65944.74,31701.06,19059,15895
25,1/2/2016 0:00,19388,27117,25340.52,8276.04,18941.28,45928.54,57198.05149,17511.34,98089.52851,69118.92,32248.18,19106,15695
26,1/2/2016 1:00,20547,27352,28153.7,9085.89,19652.58001,47447.77,57733.81176,18066.68,97494.26823,69309.28,30806.62,18892,15279
27,1/2/2016 2:00,21867,29201,28600.88,9536.4,19646.8,47208.22,57182.79225,18107.2,96607.10775,68818.4,29216,18513,14820
28,1/2/2016 3:00,21931,32528,29242.16,9530.38,19552.95999,46780.55,56384.01313,17990.29,94692.14688,67897.26,27563.64,17979,14180
29,1/2/2016 4:00,21698,33188,28654.06,9489.31,19313.42,45938.36,55068.0618,17753.83,91648.2582,66093.04,25722.16,17113,13331
30,1/2/2016 5:00,21311,32918,27977.8,9319.96,18840.51999,44559.42,53123.26683,17290.58,88140.15318,63776.42,23739.78,16106,12600
31,1/2/2016 6:00,20693,32330,26402.86,8976.83,18237.76001,42800.76,51061.99308,16716.93,85549.16691,61567.8,21290.3,15151,11845
32,1/2/2016 7:00,19695,31153,26191.1,8601.23,17768.65999,41268.52,49536.54148,16301.83,84074.91853,60634.84,19819.66,14488,11783
33,1/2/2016 8:00,18460,29630,25440.54,8338.33,17554.06,40293.83,48559.59509,15965.18,83291.56491,60132.84,18866.96,14114,11450
34,1/2/2016 9:00,18260,28036,24894.66,8210.59,17431.48001,39692.85,48142.68363,15861.74,83078.89636,60757.06,18332.14,13915,11558
35,1/2/2016 10:00,18015,26871,24618.12,8134.64,17476.37999,39395.53,48184.7413,15839.45,82996.3387,61951.76,18106.54,13936,11739
36,1/2/2016 11:00,18091,25923,24626.64,8189.38,17695.26001,39730.95,48662.75296,16015.01,84888.50704,63349.62,18260.48,14220,11928
37,1/2/2016 12:00,18285,25405,24833.68,8337,18137.29999,40681.69,49992.79622,16389.53,87729.00379,66550.96,18938.14,14839,12100
38,1/2/2016 13:00,18744,25254,25451.32,8655.16,18786.91999,42119.88,51921.04507,16882.4,90527.77494,69577.02,19851.68,15491,12681
39,1/2/2016 14:00,19536,25598,26166.68,9085.88,19341.76001,43630.03,53538.12398,17344.39,92350.53601,71770.9,21916.4,16194,13511
40,1/2/2016 15:00,20551,26365,26967.92,9330.16,19539.01999,44909.59,54223.04266,17865.29,92517.97734,72620.64,24204.46,16940,14037
41,1/2/2016 16:00,21675,27325,27380.92,9329.74,19511.68,46289.42,54497.55447,18038.86,91948.02553,71409.46,25813.44,17430,14168
42,1/2/2016 17:00,22545,28199,27680.86,9084.47,19263.43999,46864.19,54292.7435,17932.7,90543.19651,68693.98,26716.52,17613,14120
43,1/2/2016 18:00,22781,29050,27444.66,8779.61,18874.22001,46572.13,53511.73193,17547.66,88871.58805,65993.98,27264.32,17641,14039
44,1/2/2016 19:00,22414,29546,27048.62,8478.91,18316.72001,45832.07,52444.49322,16996.76,87123.02678,63267.68,27308.22,17539,13921
45,1/2/2016 20:00,21741,29212,26431.66,8219.55,17736.99999,44688.09,51343.56677,16574.9,85916.93324,61608.7,27260.3,17487,13979
46,1/2/2016 21:00,20990,28564,25896.08,7995.12,17286.13999,43739.85,50507.20496,16289.37,85170.13506,60761.08,26967.12,17629,14037
47,1/2/2016 22:00,20295,28128,25558.4,7896.12,17138.23999,43414.69,50503.21948,16233.21,87503.82052,61767.32,26619.28,18483,15114
48,1/2/2016 23:00,19944,28089,25574.3,7984.25,17448,43871.68,52511.64546,16413.27,94760.25454,66475.48,27156.02,19562,16176
49,1/3/2016 0:00,20146,28127,26435.06,8271.09,18703.38,46017.71,56738.25351,17179.98,98381.42649,71694.94,28305.76,19536,16083
50,1/3/2016 1:00,21237,28326,28312.16,9042.66,19543.12,47575.62,57603.19351,17754.82,98448.42649,73198.8,27457,19237,15677
51,1/3/2016 2:00,22467,29889,29299.76,9508.86,19580.41999,47342.53,57053.17073,17731.91,97735.54928,73555.52,26327.68,18808,15216
52,1/3/2016 3:00,22559,32899,29159.92,9479.82,19559.74,46813.05,56410.94757,17612.93,96256.99243,72989.72,24960.28,18288,14544
53,1/3/2016 4:00,22290,33350,28712.94,9387.55,19265.80001,45803.82,55248.49302,17328.89,93323.20697,71405.14,23466.66,17380,13619
54,1/3/2016 5:00,22034,32995,27987.42,9211.51,18747.11999,44206.29,53121.33419,16823.54,90373.88583,69329.48,21732.22,16381,12648
55,1/3/2016 6:00,21334,32335,26880.1,8836.61,18121.81999,42274.14,51115.62006,16183.51,88503.69995,67703,20390.5,15401,12261
56,1/3/2016 7:00,20257,31113,25784.62,8458.79,17686.78,40738.78,49583.07782,15757.05,86544.30218,66677.68,19049.22,14652,11928
57,1/3/2016 8:00,19019,29525,25079.9,8186.03,17456.06001,39784.22,48546.42736,15479.93,85234.33264,66822.84,18278.66,14192,11811
58,1/3/2016 9:00,18686,27993,24486.46,8026.07,17316.94001,39366,48097.95311,15374.39,84784.88687,66947.02,17836.08,13946,11711
59,1/3/2016 10:00,18374,26623,24137.26,7959.67,17352.73999,39383.57,47992.22814,15327.42,84714.11188,67689.72,17695.88,13927,11752
60,1/3/2016 11:00,18345,25528,23943.3,7949.21,17541.82001,39847.4,48339.53272,15386.45,85232.58727,69408.78,17998.82,14112,11880
61,1/3/2016 12:00,18536,24895,24135.3,8035.45,17897.79999,40881.89,49319.84299,15649.36,87073.45702,71585.56,18793.54,14571,12242
62,1/3/2016 13:00,18881,24637,24520,8288.78,18458.96,42416.13,50961.22921,16111.07,89294.73079,74235.06,19939.74,15030,12896
63,1/3/2016 14:00,19531,24856,25065.56,8600.8,19057.1,43895.96,52475.20894,16557.28,90915.19106,76386.34,21960.56,15652,13307
64,1/3/2016 15:00,20518,25510,25581.62,8844.11,19247.41999,44548.25,53211.53559,17009.68,90565.18441,76139.96,23900.44,16270,13517
65,1/3/2016 16:00,21574,26444,25998.56,8823.6,18998.40001,44085.8,53495.35508,17047.64,89471.9449,72856,25134.6,16740,13657
66,1/3/2016 17:00,22420,26982,26257.14,8608.19,18558.08,42769.07,53511.34073,16718.54,88126.83927,68951.88,25959.02,17079,13682
67,1/3/2016 18:00,22938,27268,26198.14,8371.53,18179.66001,41256.71,53482.5433,16045.9,88135.41669,66015.32,26462.68,17257,13721
68,1/3/2016 19:00,22958,27537,25849.18,8158.61,17891.31999,39955.54,53382.99063,15612.13,88384.92939,64208.38,26674.52,17281,13702
69,1/3/2016 20:00,22794,27482,25499.14,8013.55,17504.89999,38769.07,52985.96417,15271.04,88215.03584,62575.66,26567.94,17311,13744
70,1/3/2016 21:00,22577,27327,25212.68,7857.44,17227.47999,37849.39,52755.66513,14883.03,87700.01487,61897.18,26407.32,17492,14011
71,1/3/2016 22:00,22276,27282,24930.36,7838.34,17187.38,37444.45,53183.0968,14740.59,90522.3832,62848.88,26619.82,18434,15217
72,1/3/2016 23:00,21891,27291,25032.76,7985.24,17580.88001,37827.11,55518.10451,14977.13,98303.87548,67423.2,27708.8,19723,16455
73,1/4/2016 0:00,21962,27553,25818.78,8358.93,19040.15999,40223.64,59760.4914,15936.53,101391.6686,72598.3,28682.6,19807,16393
74,1/4/2016 1:00,22734,28016,27724.46,9195.87,20027.54001,43512.22,60333.63187,17080.47,101429.7081,74367.48,28060.72,19554,15976
75,1/4/2016 2:00,23469,29851,28960.94,9643.47,20287.93999,44382.62,59967.14418,17509.79,100453.6958,74601.12,26986.58,19043,15408
76,1/4/2016 3:00,23141,33150,28633.46,9576.63,20210.26001,44406.08,58654.59579,17602.41,97225.8642,72773.14,25404.96,18167,14417
77,1/4/2016 4:00,22683,33660,28105.58,9367.17,19877.94,43878.89,56847.58282,17323.78,92998.45718,70331.3,21425.8,17057,13261
78,1/4/2016 5:00,22016,33302,27154.62,9028.63,19151.26001,42356.93,54415.61831,16808,89208.84168,67543.82,17206.38,15922,12194
79,1/4/2016 6:00,20879,32351,25712.08,8442.76,18451.11999,40579.36,52316.35776,16283.46,87776.86226,65933.34,19805.46,15097,11764
80,1/4/2016 7:00,19338,30606,24556.26,7983.43,18115.86001,39556.64,51035.65741,15963.05,86873.00258,65357.42,18834.28,14603,11433
81,1/4/2016 8:00,17796,28573,23965.16,7686.5,18089.29999,39331.57,50398.25852,15911.27,86665.5415,65747.42,18443.18,14355,11317
82,1/4/2016 9:00,17337,26877,22874.24,7543.84,18182.08001,39666.06,50348.53991,16049.1,87182.94008,66698.38,18455.42,14321,11421
83,1/4/2016 10:00,17038,25492,23380.66,7490.37,18415.73999,40559.09,51006.95679,16262.8,88256.88322,68348.2,19044.9,14649,11854
84,1/4/2016 11:00,16968,24641,23263.24,7565.84,18888.98001,42432.61,52496.57604,16811.95,92542.80395,72540.1,20956.4,15694,12872
85,1/4/2016 12:00,17244,24156,23434.8,7854.8,19937.30001,46082.29,56009.69227,17937.81,102321.2077,79911.66,23929.84,17592,14764
86,1/4/2016 13:00,18041,24293,24838.7,8508.45,21553.00001,50763.32,60928.54636,19549.53,108460.5536,84809.36,25901.44,19068,16004
87,1/4/2016 14:00,19486,25218,26610.72,9356.18,22586.55999,52787.88,63564.13259,20199.7,108641.4274,85318.6,26591.6,19608,16275
88,1/4/2016 15:00,21333,27363,27907,9575.52,22519.14,51715.13,63255.75914,19847.37,108049.6809,83649.22,26871.08,20094,16392
89,1/4/2016 16:00,22379,30165,28527.16,9427.4,22290.00001,49915.83,62954.82679,19220.41,107647.5732,81777.78,26740.22,20294,16437
90,1/4/2016 17:00,22462,31796,27927.68,9392.22,22017.43999,48037.82,62537.5672,18522.6,106778.7728,79991.2,26363.4,20333,16434
91,1/4/2016 18:00,22303,32318,27960.6,9407.98,21452.86,46083.28,61860.99607,17847.02,106251.7639,78136.4,25873.8,20333,16425
92,1/4/2016 19:00,22032,32516,27216.74,9407.79,20884.38001,44312.82,60966.49005,17132.19,106642.1899,77256.98,25486.42,20378,16471
