State_Name,State_Abbv,TotalArea_SqMi,TotalArea_SqKm,LandArea_SqMi,LandArea_SqKm,EIoF_Region
Alabama,AL,52420,135767,50645,131171,SE
Arizona,AZ,113990,295234,113594,294207,SW
Arkansas,AR,53179,137732,52035,134771,AL
California,CA,163695,423967,155779,403466,CA
Colorado,CO,104094,269601,103642,268431,MN
Connecticut,CT,5543,14357,4842,12542,NE
Delaware,DE,2489,6446,1949,5047,MA
District of Columbia,DC,68,177,61,158,MA
Florida,FL,65758,170312,53625,138887,FL
Georgia,GA,59425,153910,57513,148959,SE
Idaho,ID,83569,216443,82643,214045,MN
Illinois,IL,57914,149995,55519,143793,MW
Indiana,IN,36420,94326,35826,92789,MW
Iowa,IA,56273,145746,55857,144669,MW
Kansas,KS,82278,213100,81759,211754,CE
Kentucky,KY,40408,104656,39486,102269,MA
Louisiana,LA,52378,135659,43204,111898,AL
Maine,ME,35380,91633,30843,79883,NE
Maryland,MD,12406,32131,9707,25142,MA
Massachusetts,MA,10554,27336,7800,20202,NE
Michigan,MI,96714,250487,56539,146435,MW
Minnesota,MN,86936,225163,79627,206232,MW
Mississippi,MS,48432,125438,46923,121531,SE
Missouri,MO,69707,180540,68742,178040,MW
Montana,MT,147040,380831,145546,376962,MN
Nebraska,NE,77348,200330,76824,198974,CE
Nevada,NV,110572,286380,109781,284332,MN
New Hampshire,NH,9349,24214,8953,23187,NE
New Jersey,NJ,8723,22591,7354,19047,MA
New Mexico,NM,121590,314917,121298,314161,SW
New York,NY,54555,141297,47126,122057,NY
North Carolina,NC,53819,139391,48618,125920,SE
North Dakota,ND,70698,183108,69001,178711,CE
Ohio,OH,44826,116098,40861,105829,MA
Oklahoma,OK,69899,181037,68595,177660,CE
Oregon,OR,98379,254799,95988,248608,NW
Pennsylvania,PA,46054,119280,44743,115883,MA
Rhode Island,RI,1545,4001,1034,2678,NE
South Carolina,SC,32020,82933,30061,77857,SE
South Dakota,SD,77116,199729,75811,196350,CE
Tennessee,TN,42144,109153,41235,106798,SE
Texas,TX,268596,695662,261232,676587,TX
Utah,UT,84897,219882,82170,212818,MN
Vermont,VT,9616,24906,9217,23871,NE
Virginia,VA,42775,110787,39490,102279,MA
Washington,WA,71298,184661,66456,172119,NW
West Virginia,WV,24230,62756,24038,62259,MA
Wisconsin,WI,65496,169635,54158,140268,MW
Wyoming,WY,97813,253335,97093,251470,MN
