Hour ending,Hour_UTC,R1_NW_year16,R2_CA_year16,R3_MN_year16,R4_SW_year16,R5_CE_year16,R6_TX_year16,R7_MW_year16,R8_AL_year16,R9_MA_year16,R10_SE_year16,R11_FL_year16,R12_NY_year16,R13_NE_year16
1,1/1/2016 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1/1/2016 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1/1/2016 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1/1/2016 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1/1/2016 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1/1/2016 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1/1/2016 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1/1/2016 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1/1/2016 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1/1/2016 9:00,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1/1/2016 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1/1/2016 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1/1/2016 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1/1/2016 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1/1/2016 14:00,0,0,0,0,0,0,0,0,0,0.01887004,0.620337692,0,0.215870226
16,1/1/2016 15:00,0,0,0,0,0.173036468,0.008523806,0.108940969,0.139279933,0.196573784,0.025643946,0.586538594,0.008458577,0.352352336
17,1/1/2016 16:00,0,0.294176981,0.349494238,0.47321596,0.784833327,0.03210301,0.18220861,0.234032223,0.147519808,0.056781811,0.418745712,0.031413446,0.293239098
18,1/1/2016 17:00,0.2747498,0.84125524,0.788238842,0.641638714,1.012310075,0.054568191,0.236891602,0.261985475,0.142249216,0.037813591,0.331463028,0,0.222058001
19,1/1/2016 18:00,0.921908585,0.993822234,0.830017547,0.655473792,1.066460778,0.02232447,0.239035929,0.260480713,0.165117086,0.094835821,0.585614508,0,0.141681393
20,1/1/2016 19:00,0.920083695,1.007396286,0.929583272,0.655370203,1.040558025,0.034864162,0.235277924,0.24520375,0.18173596,0.106893833,0.554630949,0,0
21,1/1/2016 20:00,0.925826248,0.99747512,0.932761535,0.669325882,0.882031311,0.055808143,0.201464767,0.284837276,0.036917207,0.078543536,0.408605428,0,0
22,1/1/2016 21:00,0.899942953,0.965756526,0.712210249,0.67091219,0.14110083,0.04073518,0,0,0,0,0,0,0
23,1/1/2016 22:00,0.250945656,0.721351901,0.079623273,0.439968577,0,0,0,0,0,0,0,0,0
24,1/1/2016 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1/2/2016 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1/2/2016 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1/2/2016 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1/2/2016 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1/2/2016 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1/2/2016 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1/2/2016 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1/2/2016 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1/2/2016 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1/2/2016 9:00,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1/2/2016 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1/2/2016 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0
