,R1_NW_To,R2_CA_To,R3_MN_To,R4_SW_To,R5_CE_To,R6_TX_To,R7_MW_To,R8_AL_To,R9_MA_To,R10_SE_To,R11_FL_To,R12_NY_To,R13_NE_To
R1_NW_From,0.7,0.4,0,0,0,0,0,0,0,0,0,0,0
R2_CA_From,0.05,0.1,0,0,0,0,0,0,0,0,0,0,0
R3_MN_From,0.25,0.5,1,0.3,0,0,0,0,0,0,0,0,0
R4_SW_From,0,0,0,0.4,0,0,0,0,0,0,0,0,0
R5_CE_From,0,0,0,0.3,1,0,0.5,0.8,0.4,0.6,0.75,0,0
R6_TX_From,0,0,0,0,0,1,0,0,0,0,0,0,0
R7_MW_From,0,0,0,0,0,0,0.5,0.2,0.4,0.3,0,0,0
R8_AL_From,0,0,0,0,0,0,0,0,0,0,0,0,0
R9_MA_From,0,0,0,0,0,0,0,0,0.2,0.1,0,0.3,0
R10_SE_From,0,0,0,0,0,0,0,0,0,0,0,0,0
R11_FL_From,0,0,0,0,0,0,0,0,0,0,0.25,0,0
R12_NY_From,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2
R13_NE_From,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8
