Hour ending,Hour_UTC,R1_NW_year16,R2_CA_year16,R3_MN_year16,R4_SW_year16,R5_CE_year16,R6_TX_year16,R7_MW_year16,R8_AL_year16,R9_MA_year16,R10_SE_year16,R11_FL_year16,R12_NY_year16,R13_NE_year16
1,1/1/2016 0:00,0.133268152,0.205227039,0.019043062,0.060947405,0,0.000706047,0,0,0,0,0,0,0
2,1/1/2016 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1/1/2016 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1/1/2016 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1/1/2016 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1/1/2016 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1/1/2016 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1/1/2016 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1/1/2016 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1/1/2016 9:00,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1/1/2016 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1/1/2016 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1/1/2016 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1/1/2016 13:00,0,0,0,0,0,0,0,0,0.080242081,0.060899015,0.346639106,0.080363077,0.220405589
15,1/1/2016 14:00,0,0,0,0,0.081089268,0.079048082,0.158756955,0.267749079,0.219110991,0.174512352,0.440614924,0.080490321,0.2974578
16,1/1/2016 15:00,0,0.030799361,0.144423095,0.250401207,0.52348795,0.137888506,0.242503012,0.323996457,0.268677852,0.205289608,0.438095917,0.091780494,0.297600479
17,1/1/2016 16:00,0.172577473,0.479937721,0.539386754,0.415007462,0.647013333,0.183203132,0.245282422,0.300440885,0.25535837,0.212254946,0.422509567,0.147290092,0.305141699
18,1/1/2016 17:00,0.555255304,0.615733402,0.584381618,0.463401257,0.657472757,0.221433966,0.269092672,0.353515023,0.292829061,0.196197832,0.431898638,0.198156684,0.209540854
19,1/1/2016 18:00,0.554862787,0.608290285,0.597450305,0.530966571,0.641925604,0.248335128,0.288831446,0.314000472,0.267340007,0.200023827,0.454197375,0.168626453,0.163477384
20,1/1/2016 19:00,0.51523069,0.609274727,0.595103938,0.53884527,0.62544059,0.248807516,0.315597592,0.29567116,0.218072866,0.21416749,0.440202897,0.108062938,0.120310979
21,1/1/2016 20:00,0.502733368,0.595338121,0.600393343,0.470797226,0.613041858,0.216587195,0.314681443,0.339071878,0.170022304,0.212416653,0.426449521,0.051871672,0.034812192
22,1/1/2016 21:00,0.510063171,0.572130609,0.600327231,0.44066111,0.575436795,0.184472705,0.263709423,0.313832612,0.086313887,0.161678056,0.314838251,0.003762494,0
23,1/1/2016 22:00,0.512558238,0.539993596,0.545995844,0.39652463,0.411137744,0.134041055,0.086502452,0.177259339,0.008387265,0.051581087,0.065054889,0,0
24,1/1/2016 23:00,0.438816521,0.433750748,0.287037654,0.299692151,0.064409783,0.037785233,0,0.005325656,0,0,0,0,0
25,1/2/2016 0:00,0.137545019,0.257564286,0.022688024,0.055987942,0,0.000446148,0,0,0,0,0,0,0
26,1/2/2016 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0
27,1/2/2016 2:00,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1/2/2016 3:00,0,0,0,0,0,0,0,0,0,0,0,0,0
29,1/2/2016 4:00,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1/2/2016 5:00,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1/2/2016 6:00,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1/2/2016 7:00,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1/2/2016 8:00,0,0,0,0,0,0,0,0,0,0,0,0,0
34,1/2/2016 9:00,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1/2/2016 10:00,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1/2/2016 11:00,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1/2/2016 12:00,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1/2/2016 13:00,0,0,0,0,0,0,0,0,0.161526852,0.17322338,0.285280814,0.058701766,0.30114118
39,1/2/2016 14:00,0,0,0,0,0.072581081,0.071733745,0.293748146,0.197519693,0.341915928,0.399767615,0.352945717,0.089854893,0.400976072
40,1/2/2016 15:00,0,0.018212201,0.117396577,0.421285926,0.492995111,0.121195168,0.491340314,0.266669094,0.363864261,0.497524732,0.319609046,0.121925616,0.423902816
41,1/2/2016 16:00,0.158405922,0.352137381,0.461195772,0.635334117,0.606509899,0.145831903,0.537138048,0.328228231,0.384016718,0.552376252,0.318094045,0.156221187,0.412585518
