Hour ending,Hour_UTC,R1_NW_MWh_PER_MW_INST,R2_CA_MWh_PER_MW_INST,R3_MN_MWh_PER_MW_INST,R4_SW_MWh_PER_MW_INST,R5_CE_MWh_PER_MW_INST,R6_TX_MWh_PER_MW_INST,R7_MW_MWh_PER_MW_INST,R8_AL_year16,R9_MA_MWh_PER_MW_INST,R10_SE_year16,R11_FL_year16,R12_NY_MWh_PER_MW_INST,R13_NE_MWh_PER_MW_INST
1,1/1/2016 0:00,0.355905898,0.258500121,0.424899086,0.434193666,0.235703561,0.205061297,0.578704266,0,0.250411862,0,0,0.220312572,0.36
2,1/1/2016 1:00,0.329210913,0.236797685,0.45398536,0.481054366,0.239605503,0.234766449,0.600495797,0,0.231466227,0,0,0.234328445,0.36
3,1/1/2016 2:00,0.278451233,0.270074753,0.510265176,0.573311367,0.254743874,0.283911788,0.60591755,0,0.255186664,0,0,0.252373962,0.36
4,1/1/2016 3:00,0.240728639,0.284543043,0.552001854,0.746842394,0.289518746,0.304294298,0.614289914,0,0.247745232,0,0,0.226532114,0.36
5,1/1/2016 4:00,0.202205522,0.282131661,0.594993916,0.86490939,0.321706569,0.288420909,0.624898914,0,0.268896769,0,0,0.210326238,0.36
6,1/1/2016 5:00,0.185443555,0.412346274,0.606968345,0.682775032,0.342952142,0.264730704,0.63084194,0,0.31601653,0,0,0.218954746,0.366037136
7,1/1/2016 6:00,0.214311387,0.570532915,0.60572334,0.548233571,0.330421834,0.267927871,0.633880081,0,0.330382822,0,0,0.247468359,0.316766955
8,1/1/2016 7:00,0.229145564,0.618278273,0.608621722,0.541826835,0.365557555,0.275621571,0.650838412,0,0.355080557,0,0,0.246636182,0.320597756
9,1/1/2016 8:00,0.096247879,0.235130296,0.593994551,0.538531942,0.362282288,0.27363545,0.68170844,0,0.313419708,0,0,0.229598076,0.354616225
10,1/1/2016 9:00,0.110496866,0.207193981,0.420132748,0.313391877,0.382091165,0.286317126,0.699794235,0,0.319409153,0,0,0.217158993,0.352875583
11,1/1/2016 10:00,0.138826811,0.194714627,0.407257374,0.309001098,0.373269911,0.287928087,0.703038142,0,0.355918242,0,0,0.232488857,0.304730414
12,1/1/2016 11:00,0.15319342,0.199302624,0.414674502,0.31064764,0.36024057,0.287123311,0.675216054,0,0.348853768,0,0,0.208530432,0.287500745
13,1/1/2016 12:00,0.14680826,0.211231419,0.438941823,0.284485913,0.323580827,0.279327144,0.67523761,0,0.345140033,0,0,0.202354673,0.274346142
14,1/1/2016 13:00,0.164300237,0.197650945,0.450181625,0.231796561,0.32159538,0.266319757,0.722667503,0,0.342459442,0,0,0.230255072,0.293278721
15,1/1/2016 14:00,0.18992489,0.188658469,0.459405489,0.20435419,0.307183478,0.235607968,0.747310353,0,0.379150029,0,0,0.253731736,0.302091153
16,1/1/2016 15:00,0.177272193,0.155257845,0.476122554,0.181119649,0.23903745,0.22949947,0.73307335,0,0.353628571,0,0,0.296480238,0.319765664
17,1/1/2016 16:00,0.149715188,0.1253441,0.456761948,0.134467618,0.173900362,0.213872133,0.720456995,0,0.417725407,0,0,0.328673026,0.312449608
18,1/1/2016 17:00,0.120780334,0.136905854,0.436279264,0.136845957,0.175158556,0.201601296,0.715314168,0,0.416385112,0,0,0.378166719,0.332160659
19,1/1/2016 18:00,0.146993094,0.140943292,0.376923223,0.125320161,0.210177461,0.198168237,0.733744211,0,0.408887834,0,0,0.358763429,0.313479297
20,1/1/2016 19:00,0.12654378,0.113965865,0.305585668,0.115440907,0.240886064,0.151067655,0.741010014,0,0.400901907,0,0,0.310496163,0.29970708
21,1/1/2016 20:00,0.107774772,0.091759956,0.261368175,0.100804976,0.24873454,0.142504744,0.718947396,0,0.41201519,0,0,0.296261274,0.256141396
22,1/1/2016 21:00,0.095810999,0.078730042,0.25391301,0.090010977,0.244475524,0.141278369,0.710004769,0,0.399128808,0,0,0.29376469,0.279660411
23,1/1/2016 22:00,0.07032077,0.06313085,0.224872102,0.071350165,0.228246989,0.132778275,0.690086683,0,0.406221205,0,0,0.268579838,0.306550492
24,1/1/2016 23:00,0.061045486,0.052853735,0.217911413,0.06805708,0.215744318,0.121809838,0.691846466,0,0.394367967,0,0,0.263061074,0.31231556
25,1/2/2016 0:00,0.07114412,0.037805102,0.21595253,0.07025247,0.272909277,0.1260487,0.666951472,0,0.393488398,0,0,0.300553611,0.290264125
26,1/2/2016 1:00,0.067649085,0.030280785,0.217930431,0.075375046,0.318055496,0.139619322,0.671889187,0,0.431644933,0,0,0.354996689,0.291163737
27,1/2/2016 2:00,0.064019626,0.034318224,0.257241209,0.084888401,0.349448685,0.138674273,0.667397624,0,0.447142099,0,0,0.360690634,0.324547711
28,1/2/2016 3:00,0.058676256,0.04129198,0.286339172,0.11269667,0.393879976,0.128442019,0.668600861,0,0.463658448,0,0,0.364807789,0.344404726
29,1/2/2016 4:00,0.04807353,0.040190861,0.295810274,0.143980973,0.436607888,0.126764316,0.65631177,0,0.463155837,0,0,0.368574582,0.343060272
30,1/2/2016 5:00,0.052156672,0.035052303,0.306897929,0.193011343,0.453832494,0.136738965,0.613030499,0,0.461745735,0,0,0.412768475,0.370289941
31,1/2/2016 6:00,0.039587989,0.035052303,0.321865313,0.175082327,0.445465469,0.129083461,0.587645587,0,0.459651523,0,0,0.440844108,0.363287658
32,1/2/2016 7:00,0.027456186,0.032666544,0.314619349,0.152213685,0.436842589,0.155012042,0.545108337,0,0.443944936,0,0,0.395117208,0.404507
33,1/2/2016 8:00,0.023490666,0.027895027,0.297693083,0.158799854,0.386875782,0.150404576,0.496859302,0,0.390165582,0,0,0.355478451,0.440502433
34,1/2/2016 9:00,0.016803051,0.028078547,0.315361062,0.138492499,0.356124298,0.152281398,0.481328918,0,0.340490883,0,0,0.306773205,0.441420912
35,1/2/2016 10:00,0.01310638,0.035602863,0.357505563,0.158799854,0.334612826,0.148028668,0.480872968,0,0.292589283,0,0,0.281719752,0.40429153
36,1/2/2016 11:00,0.019844404,0.046430538,0.39626481,0.140139041,0.312500748,0.151698323,0.498100427,0,0.276114819,0,0,0.273135026,0.450193625
37,1/2/2016 12:00,0.019995631,0.043677739,0.428462753,0.126783754,0.308575157,0.158851085,0.507754414,0,0.241197331,0,0,0.303969988,0.457624863
38,1/2/2016 13:00,0.018483357,0.050651496,0.456248455,0.12129528,0.293775126,0.153177867,0.503665236,0,0.201114121,0,0,0.346236729,0.427171085
39,1/2/2016 14:00,0.018987448,0.067351808,0.486620642,0.111233077,0.25856604,0.128388044,0.54079445,0,0.175453048,0,0,0.325388048,0.410896634
40,1/2/2016 15:00,0.024364425,0.065700128,0.51104011,0.118002195,0.202238097,0.101055653,0.529920895,0,0.191536593,0,0,0.354514874,0.418383477
41,1/2/2016 16:00,0.041049855,0.071022206,0.546490177,0.109952433,0.148140273,0.095938867,0.525960402,0,0.219529221,0,0,0.43869794,0.416710356
42,1/2/2016 17:00,0.056743905,0.061295651,0.555200548,0.084339554,0.127003254,0.083343593,0.534778917,0,0.234705275,0,0,0.454597235,0.440962169
43,1/2/2016 18:00,0.075983399,0.069921086,0.521043723,0.075557995,0.128768388,0.051494072,0.559452468,0,0.286334571,0,0,0.470496531,0.439451892
44,1/2/2016 19:00,0.091290978,0.086621398,0.517316141,0.061105013,0.156742355,0.065476613,0.582109519,0,0.293063971,0,0,0.45424682,0.432266905
45,1/2/2016 20:00,0.134794079,0.093595155,0.479317624,0.07226491,0.173238784,0.069731268,0.571717389,0,0.30819814,0,0,0.477241669,0.432114984
46,1/2/2016 21:00,0.178179557,0.092677556,0.41944809,0.063117453,0.169501452,0.078250026,0.560225885,0,0.301259319,0,0,0.441150689,0.39590706
47,1/2/2016 22:00,0.195671534,0.082033401,0.399783192,0.055982437,0.169283917,0.063489712,0.582837863,0,0.333621869,0,0,0.446231473,0.396412471
48,1/2/2016 23:00,0.220607262,0.082216921,0.351495787,0.054701793,0.179899154,0.056529449,0.630739383,0,0.417250719,0,0,0.460597761,0.371994837
49,1/3/2016 0:00,0.220304807,0.060378051,0.32222666,0.064946945,0.196131749,0.059360821,0.68756916,0,0.489235752,0,0,0.44014333,0.361117069
50,1/3/2016 1:00,0.200174752,0.06258029,0.319944467,0.09147457,0.216738466,0.08427649,0.731003286,0,0.552369251,0,0,0.45770698,0.325928905
51,1/3/2016 2:00,0.175625494,0.081482841,0.336052947,0.117819246,0.257220446,0.119537244,0.737204335,0,0.563789685,0,0,0.426346421,0.310360441
52,1/3/2016 3:00,0.154470452,0.08331804,0.35798102,0.124954263,0.290224201,0.132447184,0.73103464,0,0.547873677,0,0,0.395204825,0.271341476
53,1/3/2016 4:00,0.152722934,0.08405212,0.37397539,0.109769484,0.337544055,0.158039161,0.718340551,0,0.53602044,0,0,0.396124619,0.27316056
54,1/3/2016 5:00,0.140607934,0.073224445,0.380403568,0.090925723,0.353495508,0.177270144,0.691459758,0,0.543070952,0,0,0.389029065,0.227089663
55,1/3/2016 6:00,0.142321846,0.063681409,0.36967726,0.099158434,0.378396286,0.193336029,0.665883452,0,0.509745065,0,0,0.38981746,0.192518121
56,1/3/2016 7:00,0.120998773,0.066984768,0.33557749,0.074094402,0.401693549,0.218039583,0.639015723,0,0.481822243,0,0,0.40965873,0.165394698
57,1/3/2016 8:00,0.088451263,0.064966049,0.310073981,0.06805708,0.4113229,0.228310632,0.605306133,0,0.469969006,0,0,0.412593293,0.163445537
58,1/3/2016 9:00,0.078655084,0.069737567,0.315094806,0.070618368,0.405740301,0.235445518,0.554096037,0,0.427079552,0,0,0.459896983,0.1712958
59,1/3/2016 10:00,0.07174903,0.06349789,0.318194785,0.077936334,0.391661966,0.252296338,0.532921149,0,0.355960126,0,0,0.505580101,0.16227882
60,1/3/2016 11:00,0.060356561,0.064599009,0.323519903,0.080497622,0.375428373,0.237832214,0.527047365,0,0.324183956,0,0,0.499535741,0.179567074
61,1/3/2016 12:00,0.051551762,0.069187007,0.312698503,0.068971826,0.367973796,0.234652954,0.463879363,0,0.298662497,0,0,0.469401503,0.175537682
62,1/3/2016 13:00,0.040881824,0.06276381,0.271942337,0.070435419,0.378285382,0.201239876,0.432569062,0,0.286934912,0,0,0.479212656,0.168225598
63,1/3/2016 14:00,0.042326887,0.079647642,0.259618493,0.084339554,0.368989669,0.178327415,0.424486077,0,0.226635579,0,0,0.447326448,0.186348923
64,1/3/2016 15:00,0.039991262,0.099467792,0.270021491,0.080314673,0.275226509,0.147076336,0.401532462,0,0.233113674,0,0,0.430857774,0.166524675
65,1/3/2016 16:00,0.039823232,0.132134337,0.272665031,0.097694841,0.176171295,0.089884014,0.352894106,0,0.21694636,0,0,0.421966414,0.161111111
66,1/3/2016 17:00,0.036294591,0.131216737,0.283923851,0.098060739,0.147590882,0.079331378,0.295485574,0,0.233532516,0,0,0.445267897,0.150170787
67,1/3/2016 18:00,0.034950347,0.157093045,0.30699302,0.073179656,0.119215608,0.093271714,0.263592598,0,0.257057493,0,0,0.509259277,0.131987886
68,1/3/2016 19:00,0.024028364,0.218572215,0.240371997,0.057628979,0.105624197,0.092903866,0.259993337,0,0.242007092,0,0,0.494980553,0.127113494
69,1/3/2016 20:00,0.025708669,0.242796843,0.2354843,0.046286132,0.101923263,0.087923494,0.238861562,0,0.26424762,0,0,0.36007742,0.122739549
70,1/3/2016 21:00,0.025876699,0.204074142,0.214906525,0.044456641,0.080190125,0.084588826,0.218057053,0,0.261357608,0,0,0.296874435,0.136581273
71,1/3/2016 22:00,0.026380791,0.18829143,0.174416614,0.039882913,0.069008331,0.082184073,0.217218967,0,0.244296764,0,0,0.304933617,0.151824049
72,1/3/2016 23:00,0.02302018,0.170489998,0.167094578,0.038602269,0.077490676,0.060132409,0.241377125,0,0.214754419,0,0,0.290260696,0.195946778
73,1/4/2016 0:00,0.027052913,0.154340246,0.160400145,0.038602269,0.102639118,0.072416927,0.270132016,0,0.205274621,0,0,0.279442184,0.220638467
